"","accession","sample","strain","rhl_pheno_3_cats","rhl_pheno_2_cats"
"1","SRR16611107","F22031_1","F22031","producer","producer"
"2","SRR16611106","F22031_2","F22031","producer","producer"
"3","SRR16611095","F22031_3","F22031","producer","producer"
"4","SRR16611084","F30658_1","F30658","producer","producer"
"5","SRR16611080","F30658_2","F30658","producer","producer"
"6","SRR16611079","F30658_3","F30658","producer","producer"
"7","SRR16611078","F34365_1","F34365","producer","producer"
"8","SRR16611077","F34365_2","F34365","producer","producer"
"9","SRR16611076","F34365_3","F34365","producer","producer"
"10","SRR16611108","M1608_1","M1608","not_producer","not_producer"
"11","SRR16611105","M1608_2","M1608","not_producer","not_producer"
"12","SRR16611104","M1608_3","M1608","not_producer","not_producer"
"13","SRR16611103","M37351_1","M37351","mid_producer","producer"
"14","SRR16611102","M37351_2","M37351","mid_producer","producer"
"15","SRR16611101","M37351_3","M37351","mid_producer","producer"
"16","SRR16611100","PA14_1","PA14","producer","producer"
"17","SRR16611099","PA14_2","PA14","producer","producer"
"18","SRR16611098","PA14_3","PA14","producer","producer"
"19","SRR16611097","W16407_1","W16407","mid_producer","producer"
"20","SRR16611096","W16407_2","W16407","mid_producer","producer"
"21","SRR16611094","W16407_3","W16407","mid_producer","producer"
"22","SRR16611093","W25637_1","W25637","producer","producer"
"23","SRR16611092","W25637_2","W25637","producer","producer"
"24","SRR16611091","W25637_3","W25637","producer","producer"
"25","SRR16611090","W36662_1","W36662","not_producer","not_producer"
"26","SRR16611089","W36662_2","W36662","not_producer","not_producer"
"27","SRR16611088","W36662_3","W36662","not_producer","not_producer"
"28","SRR16611087","W91453_1","W91453","producer","producer"
"29","SRR16611086","W91453_2","W91453","producer","producer"
"30","SRR16611085","W91453_3","W91453","producer","producer"
"31","SRR16611083","X9820_1","X9820","producer","producer"
"32","SRR16611082","X9820_2","X9820","producer","producer"
"33","SRR16611081","X9820_3","X9820","producer","producer"
