"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS00005",4332,3863,5069,3519,3853,4386
"PA14_RS00010",3417,3661,3168,2851,3133,3324
"PA14_RS00015",2733,1932,2295,2056,2343,2434
"PA14_RS00020",5107,4700,5083,4323,4884,5047
"PA14_RS00025",1061,783,1018,1676,1973,1917
"PA14_RS00030",826,621,739,636,839,802
"PA14_RS00035",3415,2078,2367,657,623,761
"PA14_RS00040",2522,2729,2423,1987,2311,2073
"PA14_RS00045",1175,965,1374,1097,1235,1205
"PA14_RS00050",223,188,202,298,300,311
"PA14_RS00055",1105,950,1182,911,1136,1085
"PA14_RS00060",451,358,446,329,381,390
"PA14_RS00065",241,181,278,180,231,186
"PA14_RS00070",52,43,81,67,100,80
"PA14_RS00075",426,363,337,257,303,359
"PA14_RS00080",1355,1254,1187,1021,1188,1169
"PA14_RS00085",1080,1076,958,795,1010,998
"PA14_RS00090",479,517,488,403,409,454
"PA14_RS00095",2157,1613,1857,1381,1790,1870
"PA14_RS00100",1290,1229,1263,1089,1476,1458
"PA14_RS00105",69,50,57,58,53,48
"PA14_RS00110",848,631,742,529,668,581
"PA14_RS00115",582,471,455,481,616,588
"PA14_RS00120",777,821,901,963,1241,1478
"PA14_RS00125",735,807,638,693,880,1168
"PA14_RS00130",187,170,170,73,128,122
"PA14_RS00135",232,173,197,68,84,89
"PA14_RS00140",73,45,75,40,29,54
"PA14_RS00145",89,72,94,82,88,110
"PA14_RS00150",39,39,37,48,46,41
"PA14_RS00155",224,148,198,164,190,222
"PA14_RS00160",213,160,174,172,200,195
"PA14_RS00165",307,216,237,173,251,228
"PA14_RS00170",155,183,195,126,166,190
"PA14_RS00175",155,148,151,119,184,154
"PA14_RS00180",2969,2097,1676,1594,2446,2647
"PA14_RS00185",3371,2489,1915,1781,2397,3051
"PA14_RS00190",137,114,119,103,145,151
"PA14_RS00195",2560,2064,4690,962,781,1042
"PA14_RS00200",7770,6364,10416,5458,6375,6279
"PA14_RS00205",320,279,248,391,405,553
"PA14_RS00210",1760,1593,1067,430,510,559
"PA14_RS31165",0,6,0,1,0,2
"PA14_RS31320",3,2,4,35,36,62
"PA14_RS31325",107,60,70,105,96,111
"PA14_RS00220",404,262,203,123,141,145
"PA14_RS00225",399,354,296,203,240,293
"PA14_RS00230",324,305,284,1785,2360,2459
"PA14_RS00235",131,312,201,161,233,163
"PA14_RS00240",57,121,66,58,55,59
"PA14_RS00245",198,306,178,175,201,211
"PA14_RS00250",92,149,74,90,108,113
"PA14_RS00255",74,65,75,56,60,81
"PA14_RS00260",589,461,914,288,343,401
"PA14_RS31505",211,161,360,65,88,122
"PA14_RS00265",216,204,244,72,71,85
"PA14_RS00270",230,192,234,27,34,32
"PA14_RS00275",189,227,207,83,78,99
"PA14_RS00280",518,405,420,287,410,371
"PA14_RS00285",90,87,73,73,87,95
"PA14_RS00290",104,73,124,63,97,116
"PA14_RS00295",61,53,60,45,63,65
"PA14_RS00300",1501,1438,2713,451,331,450
"PA14_RS00305",720,613,1242,395,351,377
"PA14_RS00310",685,582,1094,470,461,549
"PA14_RS00315",199,207,320,163,172,155
"PA14_RS00320",1018,867,921,789,1009,1034
"PA14_RS00325",623,660,562,475,573,580
"PA14_RS00330",222,235,238,230,282,299
"PA14_RS00335",329,277,305,310,399,395
"PA14_RS00340",1500,1555,1390,3271,3900,3853
"PA14_RS00345",174,196,182,831,932,964
"PA14_RS00350",160,173,133,273,328,366
"PA14_RS00355",2183,4267,2166,121,106,144
"PA14_RS00360",2465,2025,1638,611,724,997
"PA14_RS00365",558,480,280,26,23,28
"PA14_RS00370",515,401,277,17,16,28
"PA14_RS00375",1758,2285,720,127,153,146
"PA14_RS00380",319,534,120,15,16,24
"PA14_RS00385",346,525,140,20,46,42
"PA14_RS00390",1484,3257,753,79,118,123
"PA14_RS00395",419,1278,348,50,61,50
"PA14_RS00400",453,1107,437,77,81,105
"PA14_RS00405",212,585,216,12,17,17
"PA14_RS31730",1411,1880,1239,559,627,730
"PA14_RS00415",1282,3203,1559,407,485,627
"PA14_RS00420",502,2158,797,39,40,57
"PA14_RS00425",1182,4464,1154,97,102,95
"PA14_RS00430",2546,6326,1119,98,105,101
"PA14_RS00435",696,1700,380,114,133,136
"PA14_RS00440",160,521,94,17,25,22
"PA14_RS00445",665,2103,331,39,63,62
"PA14_RS00450",495,1252,184,39,22,32
"PA14_RS00455",2154,4363,832,172,208,216
"PA14_RS00460",1703,2193,727,133,171,130
"PA14_RS00465",250,413,159,50,30,31
"PA14_RS00470",117,242,102,0,0,2
"PA14_RS00475",209,788,272,63,60,57
"PA14_RS00480",237,407,220,145,153,175
"PA14_RS00485",2162,3057,2040,547,569,783
"PA14_RS00490",99,283,100,30,20,41
"PA14_RS00495",287,740,201,31,42,39
"PA14_RS00500",17,56,15,28,37,26
"PA14_RS00505",1,2,2,15,28,21
"PA14_RS00510",2,0,0,0,2,2
"PA14_RS00515",377,585,167,136,140,163
"PA14_RS00520",1127,551,894,2049,2506,2201
"PA14_RS00525",266,206,246,325,316,279
"PA14_RS00530",442,257,449,585,540,486
"PA14_RS00535",6588,2959,4499,955,663,861
"PA14_RS00540",2845,1563,1061,231,159,230
"PA14_RS00545",1193,428,359,65,61,79
"PA14_RS00550",2391,934,1324,490,351,488
"PA14_RS00555",1261,457,707,250,197,301
"PA14_RS00560",1361,442,652,151,87,105
"PA14_RS00565",596,256,190,81,51,50
"PA14_RS00570",860,318,358,132,104,76
"PA14_RS00575",610,225,227,135,102,154
"PA14_RS00580",781,501,477,415,540,611
"PA14_RS00585",531,357,392,412,520,569
"PA14_RS00590",377,245,286,248,261,333
"PA14_RS00595",49,25,41,49,63,78
"PA14_RS00600",53,28,34,61,72,84
"PA14_RS00605",178,127,125,1162,814,1096
"PA14_RS00610",229,152,166,896,613,727
"PA14_RS00615",157,84,94,666,453,483
"PA14_RS00620",16004,10817,11150,296,255,261
"PA14_RS00625",3304,2842,2182,178,179,191
"PA14_RS00630",55,60,53,38,39,35
"PA14_RS00635",60,41,51,35,39,53
"PA14_RS00640",174,319,156,58,64,68
"PA14_RS00645",193,159,189,216,220,243
"PA14_RS00650",803,516,675,1062,1369,1280
"PA14_RS00655",297,171,266,261,318,320
"PA14_RS00660",420,322,403,296,345,391
"PA14_RS00665",62,55,53,53,53,66
"PA14_RS00670",105,59,149,52,58,99
"PA14_RS00675",170,109,139,186,218,237
