"","locus_tag","pathway_id","pathway_name"
"1","PA14_00010","path:pau02020","Two-component system"
"2","PA14_00020","path:pau03030","DNA replication"
"3","PA14_00020","path:pau03430","Mismatch repair"
"4","PA14_00020","path:pau03440","Homologous recombination"
"5","PA14_00030","path:pau03440","Homologous recombination"
"6","PA14_00060","path:pau00561","Glycerolipid metabolism"
"7","PA14_00060","path:pau00564","Glycerophospholipid metabolism"
"8","PA14_00060","path:pau01100","Metabolic pathways"
"9","PA14_00060","path:pau01110","Biosynthesis of secondary metabolites"
"10","PA14_00070","path:pau00541","Biosynthesis of various nucleotide sugars"
"11","PA14_00070","path:pau01100","Metabolic pathways"
"12","PA14_00070","path:pau01250","Biosynthesis of nucleotide sugars"
"13","PA14_00090","path:pau00970","Aminoacyl-tRNA biosynthesis"
"14","PA14_00100","path:pau00970","Aminoacyl-tRNA biosynthesis"
"15","PA14_00110","path:pau03410","Base excision repair"
"16","PA14_00120","path:pau00540","Lipopolysaccharide biosynthesis"
"17","PA14_00120","path:pau01100","Metabolic pathways"
"18","PA14_00190","path:pau00970","Aminoacyl-tRNA biosynthesis"
"19","PA14_00190","path:pau01100","Metabolic pathways"
"20","PA14_00280","path:pau00860","Porphyrin metabolism"
"21","PA14_00280","path:pau01100","Metabolic pathways"
"22","PA14_00280","path:pau01110","Biosynthesis of secondary metabolites"
"23","PA14_00280","path:pau01240","Biosynthesis of cofactors"
"24","PA14_00290","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"25","PA14_00290","path:pau00999","Biosynthesis of various plant secondary metabolites"
"26","PA14_00290","path:pau01100","Metabolic pathways"
"27","PA14_00290","path:pau01110","Biosynthesis of secondary metabolites"
"28","PA14_00290","path:pau01230","Biosynthesis of amino acids"
"29","PA14_00360","path:pau02010","ABC transporters"
"30","PA14_00430","path:pau02020","Two-component system"
"31","PA14_00440","path:pau00260","Glycine, serine and threonine metabolism"
"32","PA14_00440","path:pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
